stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2210,32210,boul. du Fort-Saint-Louis et boul. Industriel,45.5860849166582,-73.4613214725522,,,2
2211,32211,boul. du Fort-Saint-Louis et De Cournoyer,45.5879039518062,-73.4596298470529,,,2
2213,32213,De La Barre et civique 50,45.5861522965495,-73.4640907816779,,,2
2214,32214,boul. du Fort-Saint-Louis et civique 198,45.5894277996288,-73.4582801963323,,,2
2215,32215,boul. du Fort-Saint-Louis et Tailhandier,45.591475090531,-73.4567806045779,,,2
2216,32216,boul. du Fort-Saint-Louis et Thomas-Pépin,45.5939898114269,-73.4555837119844,,,2
2217,32217,FORT ST-LOUIS / TUNNEL M.-VICTORIN,45.5977072115247,-73.4547820298938,,,2
2218,32218,boul. du Fort-Saint-Louis et Jean-De Lafond,45.600558672337,-73.4542284647133,,,2
2219,32219,boul. du Fort-Saint-Louis et boul. De Montarville,45.6038301238227,-73.4535431214001,,,2
2220,32220,boul. du Fort-Saint-Louis et Jacques-Viau,45.6070109094755,-73.4529198097415,,,2
2221,32221,boul. du Fort-Saint-Louis et Pierre-Boucher,45.6097784195496,-73.4524063738835,,,2
2222,32222,boul. du Fort-Saint-Louis et De Lavaltrie,45.612071800909,-73.4517741864955,,,2
2223,32223,boul. du Fort-Saint-Louis et De Montbrun,45.6142475958436,-73.4509215437633,,,2
2224,32224,boul. du Fort-Saint-Louis et Pierre-Bourgery,45.6169789857563,-73.4494545802536,,,2
2226,32226,boul. du Fort-Saint-Louis et Joseph-Bouchette,45.6238187246229,-73.4454828355888,,,2
2227,32227,boul. du Fort-Saint-Louis et Jean-Bois,45.6262495242451,-73.4440672965056,,,2
2229,32229,boul. du Fort-Saint-Louis et civique 958,45.6298342919573,-73.4420056585702,,,2
2230,32230,D'Argenson et Gilles-Hocquart,45.6331005935022,-73.4412886046867,,,2
2231,32231,D'Argenson et De Duquesne,45.6343247038962,-73.4435927921883,,,2
2232,32232,D'Argenson et Michel-Moreau,45.6353966629774,-73.4449728974213,,,2
2233,32233,D'Argenson et boul. Marie-Victorin,45.6373480184109,-73.4475824609224,,,2
2234,32234,boul. Marie-Victorin et Birtz,45.635482996359,-73.4494436772629,,,2
2235,32235,boul. Marie-Victorin et De Mésy,45.6326698328993,-73.4520474200582,,,2
2236,32236,boul. Marie-Victorin et Charles-Guimond,45.6306894492871,-73.4530507871508,,,2
2237,32237,boul. Marie-Victorin et De Monts,45.6281095817562,-73.4539367014534,,,2
2238,32238,boul. Marie-Victorin et De Léry,45.6270729143603,-73.4542978181523,,,2
2239,32239,boul. Marie-Victorin et De Varennes nord,45.6243729078392,-73.4552196804343,,,2
2240,32240,boul. Marie-Victorin et François-Piedmont,45.6221108443267,-73.4554579795091,,,2
2241,32241,boul. Marie-Victorin et De Niverville,45.6180797827869,-73.4558502592203,,,2
2243,32243,boul. Marie-Victorin et De Montbrun,45.6138186373627,-73.4564458203625,,,2
2245,32245,boul. Marie-Victorin et Pierre-Boucher,45.6102255973744,-73.4566407893143,,,2
2246,32246,boul. Marie-Victorin et des Seigneurs,45.6084564916719,-73.4566867100255,,,2
2248,32248,boul. Marie-Victorin et Desmarteau,45.6045244270679,-73.4572209740985,,,2
2249,32249,boul. Marie-Victorin et Charlotte-Denys,45.6023611305942,-73.4577833954722,,,2
2250,32250,boul. Marie-Victorin et De La Broquerie,45.6004378218873,-73.4585093660923,,,2
